transcript_id	kw20-BHI1-F	kw20-BHI1-G	kw20-BHI1-H	kw20-BHI2-F	kw20-BHI2-G	kw20-BHI2-H	kw20-BHI3-F	kw20-BHI3-G	kw20-BHI3-H	kw20-MIV0-A	kw20-MIV0-B	kw20-MIV0-C	kw20-MIV1-A	kw20-MIV1-B	kw20-MIV1-C	kw20-MIV2-A	kw20-MIV2-B	kw20-MIV2-C	kw20-MIV3-A	kw20-MIV3-B	kw20-MIV3-C	sxyx-MIV0-A	sxyx-MIV0-B	sxyx-MIV0-D	sxyx-MIV1-A	sxyx-MIV1-B	sxyx-MIV1-D	sxyx-MIV2-A	sxyx-MIV2-B	sxyx-MIV2-D	sxyx-MIV3-A	sxyx-MIV3-B	sxyx-MIV3-D
gene-HI_0123	1212	1329	1222	2360	1965	1673	2172	2036	2068	1642	1770	1271	2301	2640	1916	1741	2354	1562	1822	1424	244	2615	1992	2384	2610	1959	2548	2344	2201	2152	2690	2416	2489
gene-HI_0124	9081	10172	10122	11628	11586	9095	11222	10637	12738	9469	8825	7404	12862	15548	14608	13807	10049	12858	9964	10431	3829	15673	11275	13643	18854	10810	14459	17134	14461	13616	13566	11407	11749
gene-HI_0125	1146	1192	1099	648	549	501	436	383	328	352	420	493	3821	5108	3940	4950	2035	4539	7280	1801	873	559	467	719	9026	5807	4977	8303	9321	3077	9420	11400	6856
gene-HI_0126	910	821	827	3564	4076	2971	4857	5036	4785	1146	1777	1253	9752	10557	6694	3705	3631	3286	3669	1696	289	1070	936	2677	9352	8666	13340	5491	6842	4715	4849	6182	5795
gene-HI_0129	782	799	746	7480	5698	4173	7651	8000	6747	1507	2606	1769	11267	17701	11377	6089	6849	7363	6081	3232	497	987	936	3557	14997	13123	21517	9160	11079	9706	7211	10945	11683
gene-HI_0131	564	498	517	8989	6083	4816	10171	10662	11680	2153	3866	1887	47103	71946	36753	41178	44853	40225	20980	21204	3577	1379	1620	3214	45561	37227	39826	46630	50191	41461	27748	33734	34596
gene-HI_0132	8462	10074	9686	11706	10275	7909	8453	9272	9073	9390	9435	4874	8457	11930	5758	7155	6897	6359	5772	9418	3953	10400	9867	8690	11297	7498	8015	10278	10943	6895	6308	7272	7348
gene-HI_0133	7039	8036	7709	8789	8081	6471	7367	7953	7765	7277	7294	3993	6381	8596	4918	6495	5374	5974	4700	5531	787	7825	6750	7719	8667	5958	6190	8782	8867	5418	6057	6316	6275
gene-HI_0134	2816	4096	3755	3625	3283	2448	2335	3522	2551	1824	2703	1134	1287	3376	1682	1668	1060	1396	1339	1223	341	2234	920	2368	2693	1094	2337	1901	1251	2074	1750	1052	2057
gene-HI_0135	1342	1671	1584	1993	1417	980	1349	1668	1330	1206	1711	644	1427	2051	1093	1267	1542	918	1318	1082	262	1468	938	1295	2168	1186	1242	2131	1592	1262	1567	1431	1302
gene-HI_0136	3183	3481	3068	3241	3057	2307	2503	2829	2385	1365	2270	1916	1270	1325	1563	1154	991	1386	1069	1056	550	2335	1694	3522	1525	1038	1823	1641	1336	1306	1370	1289	1631
rna-HI_t07	2282	2281	1674	4082	2377	2325	2177	2588	2195	3642	3095	947	1829	1672	1037	1000	514	386	1490	1835	1497	5014	3604	2997	4227	1639	826	3693	2318	801	3755	1884	1305
gene-HI_0137	1905	1989	2008	1832	1887	1472	1531	1628	1840	1082	1359	1220	912	1285	1311	825	818	1085	863	1017	615	1735	1239	2233	1338	822	1408	1066	937	1067	1039	1087	1240
gene-HI_0138	450	455	396	386	467	330	270	379	398	282	367	331	255	294	324	205	208	340	210	265	289	484	312	439	342	205	262	261	182	248	228	281	444
gene-HI_0139	113532	147929	141564	330310	346997	266551	273734	306956	337007	179739	215786	141843	384556	749078	342763	405476	558597	356815	329786	322308	75274	227578	175559	236662	607111	365771	412990	529131	549661	571962	347739	444864	397032
gene-HI_0140	2662	2893	2306	2228	2327	1752	2026	2225	1607	1438	1749	1189	10808	18984	12694	7729	7350	6246	4532	2216	662	1569	1383	2057	12149	8878	11156	10233	10676	8361	4073	5847	4745
gene-HI_0141	3452	3601	3018	3348	3337	2403	2778	2875	2612	2299	2719	1590	26983	54837	26799	16864	22879	15202	8263	5801	837	1941	2211	2735	26347	20558	19533	22602	23478	19881	6737	10111	8851
gene-HI_0142	3764	3927	3295	4510	4633	3267	4099	4604	3848	3476	3957	2184	54234	103553	43037	36453	48163	31931	16699	17247	1036	3126	3290	3713	49427	37970	29985	48640	48927	35942	13679	20098	14515
gene-HI_0143	968	797	792	816	656	527	545	746	608	416	562	410	2952	4551	3289	2074	1975	1953	1281	1095	258	448	387	688	4020	2354	2757	3229	2829	1968	1204	1394	1253
gene-HI_0144	1147	1061	773	956	853	567	650	838	800	184	474	413	1698	2494	4855	1151	877	2036	493	1208	358	230	215	745	1434	1371	3046	1492	1626	1572	427	1378	1355
gene-HI_0145	1272	1332	1007	1349	1254	802	883	1306	1106	411	732	533	5207	7497	5721	3360	3281	4509	1582	2427	801	495	493	926	5241	4202	4635	5169	5150	3095	1560	2444	1837
